,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
100,vertebral,240,12.5,50,0.6103174603,0.5406349206,0.5146031746,0.6132539683,0.6103174603,0.579047619,0.5332539683,0.52,0.6103174603,0.6584126984,0.449047619,0.2142857143,0.6103174603,0.6634126984,0.6434126984,0.0841584158
101,vertebral,240,12.5,100,0.6857142857,0.6066666667,0.4723809524,0.5394444444,0.6857142857,0.753015873,0.7464285714,0.6996825397,0.6857142857,0.680952381,0.4553968254,0.3347619048,0.6857142857,0.8143650794,0.7381746032,0.4622222222
102,vertebral,240,12.5,200,0.5201587302,0.5652380952,0.5785714286,0.5411904762,0.5201587302,0.6,0.5137301587,0.5485714286,0.5201587302,0.5792063492,0.6557142857,0.796031746,0.5201587302,0.6586507937,0.5429365079,0.6958730159
103,vowels,1456,3.4340659341,10,0.946742532,0.9453342817,0.9166571835,0.7442461763,0.946742532,0.866514936,0.8473541963,0.7387087518,0.946742532,0.9499857752,0.8892603129,0.6281132171,0.946742532,0.8462162162,0.8080085349,0.6234275093
104,vowels,1456,3.4340659341,30,0.9374395448,0.9516642959,0.9309672831,0.8614295875,0.9374395448,0.896628734,0.87685633,0.8278947368,0.9374395448,0.9423755334,0.9283783784,0.8176600284,0.9374395448,0.8849928876,0.867027027,0.6846870555
105,vowels,1456,3.4340659341,50,0.9380369844,0.9493172119,0.926458037,0.8738762447,0.9380369844,0.8844523471,0.8616500711,0.8151778094,0.9380369844,0.9407539118,0.9353200569,0.8355263158,0.9380369844,0.8722901849,0.8675675676,0.7383997155
106,vowels,1456,3.4340659341,100,0.9359174964,0.9494736842,0.9304694168,0.888997155,0.9359174964,0.8727738265,0.8656614509,0.8178378378,0.9359174964,0.9348790896,0.9343812233,0.8951991465,0.9359174964,0.8564438122,0.8663869132,0.7794665718
107,vowels,1456,3.4340659341,200,0.8862588905,0.902802276,0.8818207681,0.8407467994,0.8862588905,0.880341394,0.8655049787,0.8182645804,0.8862588905,0.9014651494,0.8924608819,0.8726529161,0.8862588905,0.8881792319,0.8900995733,0.8394950213
108,vowels,1456,3.4340659341,300,0.8030583215,0.8155761024,0.7865291607,0.7751422475,0.8030583215,0.8524893314,0.8202987198,0.7740967283,0.8030583215,0.8370412518,0.8272972973,0.8215860597,0.8030583215,0.873940256,0.860398293,0.8140896159
109,wbc,378,5.5555555556,10,0.8947579032,0.5291449913,0.6898759504,0.706282513,0.8947579032,0.7274909964,0.6146458583,0.5803654795,0.8947579032,0.9171668667,0.8343337335,0.579871665,0.8947579032,0.802054155,0.7969854609,0.7621715353
110,wbc,378,5.5555555556,30,0.9373082566,0.6055755636,0.6007736428,0.7738428705,0.9373082566,0.7565692944,0.7297585701,0.5223422702,0.9373082566,0.9466453248,0.9507803121,0.6599832916,0.9373082566,0.7856475924,0.8047218888,0.8111244498
111,wbc,378,5.5555555556,50,0.9459783914,0.6954781913,0.5542216887,0.7974523143,0.9459783914,0.7759103641,0.7402961184,0.4627184207,0.9459783914,0.9510470855,0.9557156196,0.5806182122,0.9459783914,0.7759103641,0.7992530345,0.7787114846
112,wbc,378,5.5555555556,100,0.9495798319,0.8185941043,0.7775110044,0.8093237295,0.9495798319,0.7555022009,0.7206882753,0.4847272242,0.9495798319,0.949979992,0.9567827131,0.7566833751,0.9495798319,0.7543017207,0.7651060424,0.772975857
113,wbc,378,5.5555555556,200,0.9493130586,0.8736828065,0.8516740029,0.5008003201,0.9493130586,0.7274909964,0.6861411231,0.5483526744,0.9493130586,0.9487795118,0.9510470855,0.9591836735,0.9493130586,0.7236227824,0.7261571295,0.7571028411
114,wbc,378,5.5555555556,300,0.9497132186,0.8819527811,0.8582099506,0.6392557023,0.9497132186,0.7330932373,0.6721355209,0.5236761371,0.9497132186,0.9465119381,0.9511804722,0.9569160998,0.9497132186,0.7046818727,0.6797385621,0.7641723356
