,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
24,ionosphere,351,35.8974358974,30,0.8848324515,0.9015520282,0.8802821869,0.650952381,0.8848324515,0.7124162257,0.7682539683,0.5485185185,0.8848324515,0.8927336861,0.8881128748,0.8592416226,0.8848324515,0.6922045855,0.7661375661,0.5625454545
25,ionosphere,351,35.8974358974,50,0.8868783069,0.8805291005,0.8586948854,0.6534920635,0.8868783069,0.7143209877,0.7044797178,0.5562786596,0.8868783069,0.8926984127,0.8888888889,0.8545679012,0.8868783069,0.7685361552,0.822010582,0.5455272727
26,ionosphere,351,35.8974358974,100,0.8879365079,0.8331569665,0.8233156966,0.5861904762,0.8879365079,0.8142151675,0.7720987654,0.5685890653,0.8879365079,0.888324515,0.8736507937,0.6862081129,0.8879365079,0.8674779541,0.8848677249,0.7575485009
27,ionosphere,351,35.8974358974,200,0.7380952381,0.6544973545,0.5988712522,0.7211463845,0.7380952381,0.638659612,0.5362610229,0.7516931217,0.7380952381,0.7315696649,0.6266666667,0.5639858907,0.7380952381,0.6540388007,0.6151675485,0.7279188713
28,ionosphere,351,35.8974358974,300,0.4582010582,0.553686067,0.5340740741,0.5938800705,0.4582010582,0.6709347443,0.6075837743,0.6894003527,0.4582010582,0.5467724868,0.5210229277,0.6527689594,0.4582010582,0.7433156966,0.7037742504,0.7295414462
29,letter,1600,6.25,10,0.9125666667,0.8828733333,0.87178,0.8571333333,0.9125666667,0.9203866667,0.9183333333,0.8900133333,0.9125666667,0.9041533333,0.8920933333,0.8858133333,0.9125666667,0.9238133333,0.9123733333,0.8774533333
30,letter,1600,6.25,30,0.8709933333,0.8975533333,0.8973,0.84948,0.8709933333,0.9117266667,0.9067066667,0.89756,0.8709933333,0.8543,0.8478,0.8492133333,0.8709933333,0.8865733333,0.88168,0.8616066667
31,letter,1600,6.25,50,0.8397066667,0.87418,0.8793,0.8337333333,0.8397066667,0.8983266667,0.8934133333,0.88254,0.8397066667,0.82534,0.8090866667,0.8349866667,0.8397066667,0.87134,0.8709133333,0.8639666667
32,letter,1600,6.25,100,0.79408,0.8132333333,0.8081333333,0.78254,0.79408,0.8617066667,0.85104,0.8338666667,0.79408,0.7899066667,0.7848333333,0.8112466667,0.79408,0.8600266667,0.8527933333,0.8348
33,letter,1600,6.25,200,0.7175,0.7251333333,0.7195133333,0.71412,0.7175,0.79152,0.7777133333,0.7877333333,0.7175,0.71248,0.7302333333,0.7457466667,0.7175,0.80926,0.8025266667,0.7575666667
34,letter,1600,6.25,300,0.6473266667,0.65822,0.6586133333,0.6616266667,0.6473266667,0.73126,0.7214066667,0.7375066667,0.6473266667,0.6318533333,0.66182,0.6623,0.6473266667,0.74118,0.7326333333,0.6816666667
35,lympho,148,4.0540540541,10,0.9823943662,0.734741784,0.6842723005,0.6532258065,0.9823943662,0.9061032864,0.7676056338,0.7676056338,0.9823943662,0.9577464789,0.9636150235,0.8755868545,0.9823943662,0.9823943662,0.9870892019,0.7676056338
36,lympho,148,4.0540540541,30,0.9953051643,0.7323943662,0.6971830986,0.6807511737,0.9953051643,0.8744131455,0.75,0.6091549296,0.9953051643,0.9917840376,0.9953051643,0.9612676056,0.9953051643,0.984741784,0.9882629108,0.9061032864
37,lympho,148,4.0540540541,50,0.9835680751,0.765258216,0.7453051643,0.7370892019,0.9835680751,0.8321596244,0.7230046948,0.5575117371,0.9835680751,0.9953051643,0.9976525822,0.9800469484,0.9835680751,0.9835680751,0.9835680751,0.9131455399
38,lympho,148,4.0540540541,100,0.9014084507,0.7922535211,0.7276995305,0.7617370892,0.9014084507,0.8744131455,0.7183098592,0.5539906103,0.9014084507,0.9929577465,0.9976525822,0.9870892019,0.9014084507,0.9753521127,0.9718309859,0.9037558685
39,mammography,11183,2.3249575248,10,0.6039235528,0.604462582,0.5003956305,0.2546875,0.6039235528,0.5213462703,0.501190941,0.5740078351,0.6039235528,0.6256284886,0.6024096386,0.8243486074,0.6039235528,0.5268460105,0.5490003986,0.5467282216
40,mammography,11183,2.3249575248,30,0.6755466438,0.6029584208,0.5282862309,0.2908560405,0.6755466438,0.5554412697,0.5459984053,0.2392124005,0.6755466438,0.7020840666,0.4146608127,0.0117967332,0.6755466438,0.5628474618,0.5563546525,0.3322843811
41,mammography,11183,2.3249575248,50,0.7052722936,0.600882035,0.533872645,0.262551686,0.7052722936,0.5740153808,0.5394090252,0.5747950878,0.7052722936,0.7663061645,0.3230072318,0.1111479029,0.7052722936,0.5645920835,0.5313552534,0.3216661879
42,mammography,11183,2.3249575248,100,0.7590222422,0.62138121,0.5498925407,0.3318719137,0.7590222422,0.5929768966,0.5596584772,0.5876988163,0.7590222422,0.8274783026,0.3753719198,0.3701399003,0.7590222422,0.543892706,0.510293942,0.3894694708
43,mammography,11183,2.3249575248,200,0.7875175567,0.6978663615,0.5925070708,0.4406806346,0.7875175567,0.5891127286,0.5543300159,0.6547563869,0.7875175567,0.8357539454,0.3449813906,0.4313346728,0.7875175567,0.5094646377,0.5287131972,0.4296737432
44,mammography,11183,2.3249575248,300,0.7780087184,0.7482929488,0.6647058089,0.5678850017,0.7780087184,0.5306385211,0.5127123381,0.451938612,0.7780087184,0.8144397748,0.4324174114,0.3648148696,0.7780087184,0.5044694556,0.5232874497,0.5427667359
45,mnist,7603,9.2068920163,10,0.5823805385,0.5752519608,0.5801711471,0.6017617599,0.5823805385,0.692705449,0.6824918772,0.6695674758,0.5823805385,0.5860836903,0.5884735415,0.5793926036,0.5823805385,0.5923505308,0.6029508909,0.609521947
46,mnist,7603,9.2068920163,30,0.6858730159,0.6658837772,0.6606837607,0.674225492,0.6858730159,0.7373700875,0.7368781689,0.705970489,0.6858730159,0.6873258004,0.6841091865,0.6820992943,0.6858730159,0.7193843257,0.725655719,0.7280070777
47,mnist,7603,9.2068920163,50,0.7405614536,0.7093083752,0.7050955071,0.7152765878,0.7405614536,0.759264295,0.7509004367,0.722145444,0.7405614536,0.7424546264,0.7376813394,0.7275232301,0.7405614536,0.7818832392,0.7883150183,0.7789019267
48,mnist,7603,9.2068920163,100,0.8027700172,0.7800970592,0.7748939385,0.7784396018,0.8027700172,0.7766894311,0.7654955402,0.7329262639,0.8027700172,0.8030940999,0.7979532708,0.784495147,0.8027700172,0.8538842325,0.8583742058,0.8332464146
49,mnist,7603,9.2068920163,200,0.8368721674,0.8496788146,0.8420872912,0.8351838745,0.8368721674,0.7718364686,0.7558403179,0.7167889737,0.8368721674,0.8365845078,0.8300726392,0.8133964529,0.8368721674,0.8992705035,0.9020920511,0.8551219966
50,mnist,7603,9.2068920163,300,0.8421682084,0.875721322,0.8682285135,0.8572188076,0.8421682084,0.7580236336,0.7401452785,0.6947225844,0.8421682084,0.8416887068,0.8339858447,0.8168711326,0.8421682084,0.9139955713,0.9147803233,0.8452209184
